MEMBER,CODE,SURNAME,MIDDLE NAME,GIVEN NAME,TOTAL SLOTS,ABSENT,EMAIL
SE170123,SE170123,Nguyễn,Văn,An,20,2,annvse170123@fpt.edu.vn
SE170456,SE170456,Trần,Thị,Bình,20,3,binhttse170456@fpt.edu.vn
SE170789,SE170789,Lê,Hoàng,Cường,20,4,cuonglhse170789@fpt.edu.vn
SE171012,SE171012,Phạm,Minh,Đức,20,5,ducpmse171012@fpt.edu.vn
CE190585,CE190585,Lâm,Quốc,Minh,20,1,minhlqce190585@fpt.edu.vn
HE160234,HE160234,Đỗ,Thùy,Linh,20,0,linhdthe160234@fpt.edu.vn
HE160567,HE160567,Ngô,Quốc,Nam,20,4,namnqhe160567@fpt.edu.vn
IA160890,IA160890,Hoàng,Mai,Phương,20,6,phuonghmia160890@fpt.edu.vn
SE171345,SE171345,Vũ,Hải,Đăng,20,1,dangvhse171345@fpt.edu.vn
SE172000,SE172000,Bùi,Thanh,Thảo,20,2,thaobtse172000@fpt.edu.vn
